#separator:tab
#html:true
#notetype:core_rad_notetype_v2
#deck:Corebook::GI::Peritoneum, Mesentery, and Abdominal Wall::Abdominal Calcifications
CT abdomen/pelvis - image-recognition case 0C21254DE16B	"<img src=""RP-01_RadPrimer_plain_RP-01_RadPrimer_image_01_plain_661c93d3.jpg"">"	"<img src=""RP-01_RadPrimer_annotated_Abdominal_Calcifications1_annot.jpg""><br><div><b>RadPrimer image 1:</b> Axial CECT shows calcified gallstones <img src=""arrow_WS.png""> in the gallbladder. Gallstones may be of variable attenuation with calcified gallstones easiest to appreciate on CT or radiography.</div>"	Most likely diagnosis?	<b>Calcified gallstones</b><br><b>Findings:</b> calcified stones in gallbladder; variable stone attenuation; intraluminal biliary location.<br><b>Reasoning:</b> The source caption directly links this morphology and anatomic distribution to Calcified gallstones.<br><b>Mini-differential:</b> intraluminal gallstones versus mural porcelain gallbladder or calcified gallbladder carcinoma; localize the calcium to the gallbladder lumen.	Calcified gallstones				"Axial CECT shows calcified gallstones <img src=""arrow_WS.png""> in the gallbladder. Gallstones may be of variable attenuation with calcified gallstones easiest to appreciate on CT or radiography."											<div><b>Abdominal Calcifications - audited master summary</b></div><ul><li>First localize calcium by compartment: biliary, hepatic/splenic, pancreatic, urinary/adrenal, pelvic reproductive, soft tissue, vascular, bowel, peritoneal, or mesenteric.</li><li>Mechanism buckets: metastatic calcification in otherwise normal tissue; dystrophic calcification in injured tissue; true ossification; concretions in hollow viscera; conduit-wall calcification; cyst-wall calcification; and solid-mass calcification.</li><li>Gallstones may be occult or densely calcified; porcelain gallbladder is mural gallbladder calcium; CT is more sensitive than radiography for many biliary calcifications.</li><li>Core-supported pivots: chronic pancreatitis shows atrophy, diffuse/ductal calcifications, and often a dilated/beaded duct; mucinous metastases, osteosarcoma, and treated lymphoma can calcify in the liver; healed fungal/granulomatous infection can leave punctate hepatic/splenic granulomas; hydatid cysts may show daughter cysts, floating membranes, and peripheral calcification; splenic calcification includes granulomatous disease, remote infarct/hematoma, splenic artery aneurysm, and cystic lesions.</li><li>Pattern is not diagnosis: integrate morphology, organ of origin, wall versus lumen, enhancement, soft tissue, fat/fluid, treatment history, infection exposure, renal failure/diabetes, and temporal stability.</li></ul><div><b>Source basis:</b> RadPrimer canonical article + STATdx supplemental image set, with auditable Core evidence from core_evidence.txt for the Core-specific statements.</div>	
CT abdomen/pelvis - image-recognition case 9FE8DD2545D4	"<img src=""RP-02_RadPrimer_plain_RP-02_RadPrimer_image_02_plain_1dd68e89.jpg"">"	"<img src=""RP-02_RadPrimer_annotated_Abdominal_Calcifications2_annot.jpg""><br><div><b>RadPrimer image 2:</b> Axial CECT shows prominent calcification of the gallbladder wall <img src=""arrow_WS.png"">, compatible with a porcelain gallbladder. The association between porcelain gallbladder and gallbladder carcinoma is now considered somewhat debatable.</div>"	Most likely diagnosis?	<b>Porcelain gallbladder</b><br><b>Findings:</b> gallbladder wall calcification; mural rather than intraluminal calcium.<br><b>Reasoning:</b> The source caption directly links this morphology and anatomic distribution to Porcelain gallbladder.<br><b>Mini-differential:</b> porcelain gallbladder versus rim-calcified gallstone; decide whether calcium outlines the wall or a discrete intraluminal stone.	Porcelain gallbladder				"Axial CECT shows prominent calcification of the gallbladder wall <img src=""arrow_WS.png"">, compatible with a porcelain gallbladder. The association between porcelain gallbladder and gallbladder carcinoma is now considered somewhat debatable."											<div><b>Abdominal Calcifications - audited master summary</b></div><ul><li>First localize calcium by compartment: biliary, hepatic/splenic, pancreatic, urinary/adrenal, pelvic reproductive, soft tissue, vascular, bowel, peritoneal, or mesenteric.</li><li>Mechanism buckets: metastatic calcification in otherwise normal tissue; dystrophic calcification in injured tissue; true ossification; concretions in hollow viscera; conduit-wall calcification; cyst-wall calcification; and solid-mass calcification.</li><li>Gallstones may be occult or densely calcified; porcelain gallbladder is mural gallbladder calcium; CT is more sensitive than radiography for many biliary calcifications.</li><li>Core-supported pivots: chronic pancreatitis shows atrophy, diffuse/ductal calcifications, and often a dilated/beaded duct; mucinous metastases, osteosarcoma, and treated lymphoma can calcify in the liver; healed fungal/granulomatous infection can leave punctate hepatic/splenic granulomas; hydatid cysts may show daughter cysts, floating membranes, and peripheral calcification; splenic calcification includes granulomatous disease, remote infarct/hematoma, splenic artery aneurysm, and cystic lesions.</li><li>Pattern is not diagnosis: integrate morphology, organ of origin, wall versus lumen, enhancement, soft tissue, fat/fluid, treatment history, infection exposure, renal failure/diabetes, and temporal stability.</li></ul><div><b>Source basis:</b> RadPrimer canonical article + STATdx supplemental image set, with auditable Core evidence from core_evidence.txt for the Core-specific statements.</div>	
CT abdomen/pelvis - image-recognition case 80E9A9D3E4AA	"<img src=""RP-03_RadPrimer_plain_RP-03_RadPrimer_image_03_plain_b15bcdf5.jpg"">"	"<img src=""RP-03_RadPrimer_annotated_Abdominal_Calcifications3_annot.jpg""><br><div><b>RadPrimer image 3:</b> Axial CECT shows large, heterogeneously calcified mass lesions <img src=""arrow_WS.png""> in the liver as well as a similarly calcified lymph node mass <img src=""arrow_WC.png""> in the gastrohepatic ligament. These findings reflect metastases from the patient's primary mucinous colon cancer.</div>"	Most likely diagnosis?	<b>Calcified mucinous colon cancer metastases</b><br><b>Findings:</b> heterogeneously calcified hepatic masses; calcified gastrohepatic nodal mass; mucinous primary.<br><b>Reasoning:</b> The source caption directly links this morphology and anatomic distribution to Calcified mucinous colon cancer metastases.<br><b>Mini-differential:</b> mucinous hepatic metastases versus calcified granulomas, hydatid disease, calcified hepatic primary tumor, or treated nodes; masslike liver lesions and calcified nodes favor metastases here.	Calcified mucinous colon cancer metastases				"Axial CECT shows large, heterogeneously calcified mass lesions <img src=""arrow_WS.png""> in the liver as well as a similarly calcified lymph node mass <img src=""arrow_WC.png""> in the gastrohepatic ligament. These findings reflect metastases from the patient's primary mucinous colon cancer."											<div><b>Abdominal Calcifications - audited master summary</b></div><ul><li>First localize calcium by compartment: biliary, hepatic/splenic, pancreatic, urinary/adrenal, pelvic reproductive, soft tissue, vascular, bowel, peritoneal, or mesenteric.</li><li>Mechanism buckets: metastatic calcification in otherwise normal tissue; dystrophic calcification in injured tissue; true ossification; concretions in hollow viscera; conduit-wall calcification; cyst-wall calcification; and solid-mass calcification.</li><li>Gallstones may be occult or densely calcified; porcelain gallbladder is mural gallbladder calcium; CT is more sensitive than radiography for many biliary calcifications.</li><li>Core-supported pivots: chronic pancreatitis shows atrophy, diffuse/ductal calcifications, and often a dilated/beaded duct; mucinous metastases, osteosarcoma, and treated lymphoma can calcify in the liver; healed fungal/granulomatous infection can leave punctate hepatic/splenic granulomas; hydatid cysts may show daughter cysts, floating membranes, and peripheral calcification; splenic calcification includes granulomatous disease, remote infarct/hematoma, splenic artery aneurysm, and cystic lesions.</li><li>Pattern is not diagnosis: integrate morphology, organ of origin, wall versus lumen, enhancement, soft tissue, fat/fluid, treatment history, infection exposure, renal failure/diabetes, and temporal stability.</li></ul><div><b>Source basis:</b> RadPrimer canonical article + STATdx supplemental image set, with auditable Core evidence from core_evidence.txt for the Core-specific statements.</div>	
CT abdomen/pelvis - image-recognition case 3ABC35E047EC	"<img src=""RP-04_RadPrimer_plain_RP-04_RadPrimer_image_04_plain_090102a6.jpg"">"	"<img src=""RP-04_RadPrimer_annotated_Abdominal_Calcifications4_annot.jpg""><br><div><b>RadPrimer image 4:</b> Axial CECT shows multiple punctate calcifications in the spleen, likely related to old, healed granulomatous disease.</div>"	Most likely diagnosis?	<b>Healed splenic granulomatous disease</b><br><b>Findings:</b> multiple punctate splenic calcifications; healed granulomatous pattern.<br><b>Reasoning:</b> The source caption directly links this morphology and anatomic distribution to Healed splenic granulomatous disease.<br><b>Mini-differential:</b> healed granulomas versus calcified splenic cyst, remote infarct/hematoma, or splenic artery aneurysm; innumerable punctate parenchymal foci favor granulomas.	Healed splenic granulomatous disease				Axial CECT shows multiple punctate calcifications in the spleen, likely related to old, healed granulomatous disease.											<div><b>Abdominal Calcifications - audited master summary</b></div><ul><li>First localize calcium by compartment: biliary, hepatic/splenic, pancreatic, urinary/adrenal, pelvic reproductive, soft tissue, vascular, bowel, peritoneal, or mesenteric.</li><li>Mechanism buckets: metastatic calcification in otherwise normal tissue; dystrophic calcification in injured tissue; true ossification; concretions in hollow viscera; conduit-wall calcification; cyst-wall calcification; and solid-mass calcification.</li><li>Gallstones may be occult or densely calcified; porcelain gallbladder is mural gallbladder calcium; CT is more sensitive than radiography for many biliary calcifications.</li><li>Core-supported pivots: chronic pancreatitis shows atrophy, diffuse/ductal calcifications, and often a dilated/beaded duct; mucinous metastases, osteosarcoma, and treated lymphoma can calcify in the liver; healed fungal/granulomatous infection can leave punctate hepatic/splenic granulomas; hydatid cysts may show daughter cysts, floating membranes, and peripheral calcification; splenic calcification includes granulomatous disease, remote infarct/hematoma, splenic artery aneurysm, and cystic lesions.</li><li>Pattern is not diagnosis: integrate morphology, organ of origin, wall versus lumen, enhancement, soft tissue, fat/fluid, treatment history, infection exposure, renal failure/diabetes, and temporal stability.</li></ul><div><b>Source basis:</b> RadPrimer canonical article + STATdx supplemental image set, with auditable Core evidence from core_evidence.txt for the Core-specific statements.</div>	
CT abdomen/pelvis - image-recognition case 5D3D5802DB95	"<img src=""RP-05_RadPrimer_plain_RP-05_RadPrimer_image_05_plain_60b50249.jpg"">"	"<img src=""RP-05_RadPrimer_annotated_Abdominal_Calcifications5_annot.jpg""><br><div><b>RadPrimer image 5:</b> Axial NECT shows an incidentally discovered benign splenic cyst <img src=""arrow_WS.png""> with prominent peripheral calcification. Acquired splenic cysts are more likely to demonstrate calcification compared to congenital splenic cysts.</div>"	Most likely diagnosis?	<b>Calcified benign splenic cyst</b><br><b>Findings:</b> splenic cyst; prominent peripheral wall calcification; incidental appearance.<br><b>Reasoning:</b> The source caption directly links this morphology and anatomic distribution to Calcified benign splenic cyst.<br><b>Mini-differential:</b> calcified splenic cyst versus hydatid cyst, old hematoma/infarct, or splenic artery aneurysm; cyst wall location is the clue.	Calcified benign splenic cyst				"Axial NECT shows an incidentally discovered benign splenic cyst <img src=""arrow_WS.png""> with prominent peripheral calcification. Acquired splenic cysts are more likely to demonstrate calcification compared to congenital splenic cysts."											<div><b>Abdominal Calcifications - audited master summary</b></div><ul><li>First localize calcium by compartment: biliary, hepatic/splenic, pancreatic, urinary/adrenal, pelvic reproductive, soft tissue, vascular, bowel, peritoneal, or mesenteric.</li><li>Mechanism buckets: metastatic calcification in otherwise normal tissue; dystrophic calcification in injured tissue; true ossification; concretions in hollow viscera; conduit-wall calcification; cyst-wall calcification; and solid-mass calcification.</li><li>Gallstones may be occult or densely calcified; porcelain gallbladder is mural gallbladder calcium; CT is more sensitive than radiography for many biliary calcifications.</li><li>Core-supported pivots: chronic pancreatitis shows atrophy, diffuse/ductal calcifications, and often a dilated/beaded duct; mucinous metastases, osteosarcoma, and treated lymphoma can calcify in the liver; healed fungal/granulomatous infection can leave punctate hepatic/splenic granulomas; hydatid cysts may show daughter cysts, floating membranes, and peripheral calcification; splenic calcification includes granulomatous disease, remote infarct/hematoma, splenic artery aneurysm, and cystic lesions.</li><li>Pattern is not diagnosis: integrate morphology, organ of origin, wall versus lumen, enhancement, soft tissue, fat/fluid, treatment history, infection exposure, renal failure/diabetes, and temporal stability.</li></ul><div><b>Source basis:</b> RadPrimer canonical article + STATdx supplemental image set, with auditable Core evidence from core_evidence.txt for the Core-specific statements.</div>	
CT abdomen/pelvis - image-recognition case EB6A4770EBF9	"<img src=""RP-06_RadPrimer_plain_RP-06_RadPrimer_image_06_plain_62ffe572.jpg"">"	"<img src=""RP-06_RadPrimer_annotated_Abdominal_Calcifications6_annot.jpg""><br><div><b>RadPrimer image 6:</b> Axial NECT shows a large, heavily calcified mass <img src=""arrow_WS.png""> in the liver with a characteristically whorled or serpiginous pattern of calcification. This represents a large, chronic echinococcal cyst in a patient who had emigrated from an endemic area.</div>"	Most likely diagnosis?	<b>Chronic hepatic echinococcal cyst</b><br><b>Findings:</b> heavily calcified hepatic mass; whorled/serpiginous calcification; chronic cyst.<br><b>Reasoning:</b> The source caption directly links this morphology and anatomic distribution to Chronic hepatic echinococcal cyst.<br><b>Mini-differential:</b> chronic hydatid cyst versus calcified hepatic metastasis or other calcified cystic mass; whorled/serpiginous cyst calcification supports echinococcal disease.	Chronic hepatic echinococcal cyst				"Axial NECT shows a large, heavily calcified mass <img src=""arrow_WS.png""> in the liver with a characteristically whorled or serpiginous pattern of calcification. This represents a large, chronic echinococcal cyst in a patient who had emigrated from an endemic area."											<div><b>Abdominal Calcifications - audited master summary</b></div><ul><li>First localize calcium by compartment: biliary, hepatic/splenic, pancreatic, urinary/adrenal, pelvic reproductive, soft tissue, vascular, bowel, peritoneal, or mesenteric.</li><li>Mechanism buckets: metastatic calcification in otherwise normal tissue; dystrophic calcification in injured tissue; true ossification; concretions in hollow viscera; conduit-wall calcification; cyst-wall calcification; and solid-mass calcification.</li><li>Gallstones may be occult or densely calcified; porcelain gallbladder is mural gallbladder calcium; CT is more sensitive than radiography for many biliary calcifications.</li><li>Core-supported pivots: chronic pancreatitis shows atrophy, diffuse/ductal calcifications, and often a dilated/beaded duct; mucinous metastases, osteosarcoma, and treated lymphoma can calcify in the liver; healed fungal/granulomatous infection can leave punctate hepatic/splenic granulomas; hydatid cysts may show daughter cysts, floating membranes, and peripheral calcification; splenic calcification includes granulomatous disease, remote infarct/hematoma, splenic artery aneurysm, and cystic lesions.</li><li>Pattern is not diagnosis: integrate morphology, organ of origin, wall versus lumen, enhancement, soft tissue, fat/fluid, treatment history, infection exposure, renal failure/diabetes, and temporal stability.</li></ul><div><b>Source basis:</b> RadPrimer canonical article + STATdx supplemental image set, with auditable Core evidence from core_evidence.txt for the Core-specific statements.</div>	
CT abdomen/pelvis - image-recognition case 3A0782846394	"<img src=""RP-07_RadPrimer_plain_RP-07_RadPrimer_image_07_plain_d84910e3.jpg"">"	"<img src=""RP-07_RadPrimer_annotated_Abdominal_Calcifications7_annot.jpg""><br><div><b>RadPrimer image 7:</b> Axial CECT in a patient status post liver transplant shows patchy areas of calcification throughout the liver parenchyma, which were found on biopsy to represent the sequelae of ischemia and rejection.</div>"	Most likely diagnosis?	<b>Dystrophic hepatic calcification from ischemia/rejection</b><br><b>Findings:</b> patchy parenchymal calcification; transplanted liver; ischemic/rejection sequelae.<br><b>Reasoning:</b> The source caption directly links this morphology and anatomic distribution to Dystrophic hepatic calcification from ischemia/rejection.<br><b>Mini-differential:</b> dystrophic post-ischemic calcification versus metastases or granulomas; post-transplant ischemia/rejection history anchors the interpretation.	Dystrophic hepatic calcification from ischemia/rejection				Axial CECT in a patient status post liver transplant shows patchy areas of calcification throughout the liver parenchyma, which were found on biopsy to represent the sequelae of ischemia and rejection.											<div><b>Abdominal Calcifications - audited master summary</b></div><ul><li>First localize calcium by compartment: biliary, hepatic/splenic, pancreatic, urinary/adrenal, pelvic reproductive, soft tissue, vascular, bowel, peritoneal, or mesenteric.</li><li>Mechanism buckets: metastatic calcification in otherwise normal tissue; dystrophic calcification in injured tissue; true ossification; concretions in hollow viscera; conduit-wall calcification; cyst-wall calcification; and solid-mass calcification.</li><li>Gallstones may be occult or densely calcified; porcelain gallbladder is mural gallbladder calcium; CT is more sensitive than radiography for many biliary calcifications.</li><li>Core-supported pivots: chronic pancreatitis shows atrophy, diffuse/ductal calcifications, and often a dilated/beaded duct; mucinous metastases, osteosarcoma, and treated lymphoma can calcify in the liver; healed fungal/granulomatous infection can leave punctate hepatic/splenic granulomas; hydatid cysts may show daughter cysts, floating membranes, and peripheral calcification; splenic calcification includes granulomatous disease, remote infarct/hematoma, splenic artery aneurysm, and cystic lesions.</li><li>Pattern is not diagnosis: integrate morphology, organ of origin, wall versus lumen, enhancement, soft tissue, fat/fluid, treatment history, infection exposure, renal failure/diabetes, and temporal stability.</li></ul><div><b>Source basis:</b> RadPrimer canonical article + STATdx supplemental image set, with auditable Core evidence from core_evidence.txt for the Core-specific statements.</div>	
CT abdomen/pelvis - image-recognition case 725163C4EBC1	"<img src=""RP-08_RadPrimer_plain_RP-08_RadPrimer_image_08_plain_f0d4e9f3.jpg"">"	"<img src=""RP-08_RadPrimer_annotated_Abdominal_Calcifications8_annot.jpg""><br><div><b>RadPrimer image 8:</b> Axial NECT shows an atrophic pancreas <img src=""arrow_WS.png""> with extensive calcification, findings diagnostic of chronic pancreatitis.</div>"	Most likely diagnosis?	<b>Chronic pancreatitis</b><br><b>Findings:</b> pancreatic atrophy; extensive pancreatic calcification.<br><b>Reasoning:</b> The source caption directly links this morphology and anatomic distribution to Chronic pancreatitis.<br><b>Mini-differential:</b> chronic pancreatitis versus splenic artery calcification or calcified pancreatic neoplasm; diffuse pancreatic atrophy plus calcification favors chronic pancreatitis.	Chronic pancreatitis				"Axial NECT shows an atrophic pancreas <img src=""arrow_WS.png""> with extensive calcification, findings diagnostic of chronic pancreatitis."											<div><b>Abdominal Calcifications - audited master summary</b></div><ul><li>First localize calcium by compartment: biliary, hepatic/splenic, pancreatic, urinary/adrenal, pelvic reproductive, soft tissue, vascular, bowel, peritoneal, or mesenteric.</li><li>Mechanism buckets: metastatic calcification in otherwise normal tissue; dystrophic calcification in injured tissue; true ossification; concretions in hollow viscera; conduit-wall calcification; cyst-wall calcification; and solid-mass calcification.</li><li>Gallstones may be occult or densely calcified; porcelain gallbladder is mural gallbladder calcium; CT is more sensitive than radiography for many biliary calcifications.</li><li>Core-supported pivots: chronic pancreatitis shows atrophy, diffuse/ductal calcifications, and often a dilated/beaded duct; mucinous metastases, osteosarcoma, and treated lymphoma can calcify in the liver; healed fungal/granulomatous infection can leave punctate hepatic/splenic granulomas; hydatid cysts may show daughter cysts, floating membranes, and peripheral calcification; splenic calcification includes granulomatous disease, remote infarct/hematoma, splenic artery aneurysm, and cystic lesions.</li><li>Pattern is not diagnosis: integrate morphology, organ of origin, wall versus lumen, enhancement, soft tissue, fat/fluid, treatment history, infection exposure, renal failure/diabetes, and temporal stability.</li></ul><div><b>Source basis:</b> RadPrimer canonical article + STATdx supplemental image set, with auditable Core evidence from core_evidence.txt for the Core-specific statements.</div>	
CT abdomen/pelvis - image-recognition case 4E5CEF6A781A	"<img src=""RP-09_RadPrimer_plain_RP-09_RadPrimer_image_09_plain_43cdcc61.jpg"">"	"<img src=""RP-09_RadPrimer_annotated_Abdominal_Calcifications9_annot.jpg""><br><div><b>RadPrimer image 9:</b> Axial CECT shows a solid, enhancing mass <img src=""arrow_WS.png""> in the pancreatic body with internal coarse calcification, representing a pancreatic neuroendocrine tumor.</div>"	Most likely diagnosis?	<b>Pancreatic neuroendocrine tumor</b><br><b>Findings:</b> solid enhancing pancreatic body mass; internal coarse calcification.<br><b>Reasoning:</b> The source caption directly links this morphology and anatomic distribution to Pancreatic neuroendocrine tumor.<br><b>Mini-differential:</b> pancreatic neuroendocrine tumor versus SPEN, MCN, serous cystadenoma, or pseudocyst; enhancing solid pancreatic mass with coarse calcification favors PNET.	Pancreatic neuroendocrine tumor				"Axial CECT shows a solid, enhancing mass <img src=""arrow_WS.png""> in the pancreatic body with internal coarse calcification, representing a pancreatic neuroendocrine tumor."											<div><b>Abdominal Calcifications - audited master summary</b></div><ul><li>First localize calcium by compartment: biliary, hepatic/splenic, pancreatic, urinary/adrenal, pelvic reproductive, soft tissue, vascular, bowel, peritoneal, or mesenteric.</li><li>Mechanism buckets: metastatic calcification in otherwise normal tissue; dystrophic calcification in injured tissue; true ossification; concretions in hollow viscera; conduit-wall calcification; cyst-wall calcification; and solid-mass calcification.</li><li>Gallstones may be occult or densely calcified; porcelain gallbladder is mural gallbladder calcium; CT is more sensitive than radiography for many biliary calcifications.</li><li>Core-supported pivots: chronic pancreatitis shows atrophy, diffuse/ductal calcifications, and often a dilated/beaded duct; mucinous metastases, osteosarcoma, and treated lymphoma can calcify in the liver; healed fungal/granulomatous infection can leave punctate hepatic/splenic granulomas; hydatid cysts may show daughter cysts, floating membranes, and peripheral calcification; splenic calcification includes granulomatous disease, remote infarct/hematoma, splenic artery aneurysm, and cystic lesions.</li><li>Pattern is not diagnosis: integrate morphology, organ of origin, wall versus lumen, enhancement, soft tissue, fat/fluid, treatment history, infection exposure, renal failure/diabetes, and temporal stability.</li></ul><div><b>Source basis:</b> RadPrimer canonical article + STATdx supplemental image set, with auditable Core evidence from core_evidence.txt for the Core-specific statements.</div>	
CT abdomen/pelvis - image-recognition case 402B14390C8B	"<img src=""RP-10_RadPrimer_plain_RP-10_RadPrimer_image_10_plain_85f62e19.jpg"">"	"<img src=""RP-10_RadPrimer_annotated_Abdominal_Calcifications10_annot.jpg""><br><div><b>RadPrimer image 10:</b> Axial CECT in a young woman shows a large solid and pseudopapillary neoplasm (SPEN) with a sizable central coarse calcification  <img src=""arrow_WC.png"">.</div>"	Most likely diagnosis?	<b>Solid pseudopapillary neoplasm</b><br><b>Findings:</b> young woman; large solid pancreatic neoplasm; central coarse calcification.<br><b>Reasoning:</b> The source caption directly links this morphology and anatomic distribution to Solid pseudopapillary neoplasm.<br><b>Mini-differential:</b> SPEN versus PNET or mucinous/serous cystic neoplasm; young woman plus large solid/pseudopapillary mass with central coarse calcium supports SPEN.	Solid pseudopapillary neoplasm				"Axial CECT in a young woman shows a large solid and pseudopapillary neoplasm (SPEN) with a sizable central coarse calcification  <img src=""arrow_WC.png"">."											<div><b>Abdominal Calcifications - audited master summary</b></div><ul><li>First localize calcium by compartment: biliary, hepatic/splenic, pancreatic, urinary/adrenal, pelvic reproductive, soft tissue, vascular, bowel, peritoneal, or mesenteric.</li><li>Mechanism buckets: metastatic calcification in otherwise normal tissue; dystrophic calcification in injured tissue; true ossification; concretions in hollow viscera; conduit-wall calcification; cyst-wall calcification; and solid-mass calcification.</li><li>Gallstones may be occult or densely calcified; porcelain gallbladder is mural gallbladder calcium; CT is more sensitive than radiography for many biliary calcifications.</li><li>Core-supported pivots: chronic pancreatitis shows atrophy, diffuse/ductal calcifications, and often a dilated/beaded duct; mucinous metastases, osteosarcoma, and treated lymphoma can calcify in the liver; healed fungal/granulomatous infection can leave punctate hepatic/splenic granulomas; hydatid cysts may show daughter cysts, floating membranes, and peripheral calcification; splenic calcification includes granulomatous disease, remote infarct/hematoma, splenic artery aneurysm, and cystic lesions.</li><li>Pattern is not diagnosis: integrate morphology, organ of origin, wall versus lumen, enhancement, soft tissue, fat/fluid, treatment history, infection exposure, renal failure/diabetes, and temporal stability.</li></ul><div><b>Source basis:</b> RadPrimer canonical article + STATdx supplemental image set, with auditable Core evidence from core_evidence.txt for the Core-specific statements.</div>	
