Reproductive-age woman with nonspecific pelvic discomfort E98ED8057AF1	"<img src=""RP-01_RadPrimer_plain_Functional_Ovarian_Cyst1.jpg"">"	"<div class=""stackItem""><img src=""RP-01_RadPrimer_annotated_Functional_Ovarian_Cyst1_annot.jpg""><div class=""stackCap"">Graphic shows a functional ovarian cyst <img src=""arrow_CO.png""> arising exophytically from the ovary <img src=""arrow_WC.png"">. Note bridging ovarian parenchyma <img src=""arrow_WS.png""> between the ovary and ovarian cyst, which is a helpful clue that this is indeed a cyst arising from the ovary rather than from an adjacent structure.</div></div>"	Most likely diagnosis?	Functional ovarian cyst<br><br>Keyword findings:<br>exophytically from the ovary<br>bridging ovarian parenchyma<br>adjacent structure<br><br>The exophytic lesion is still ovarian in origin because bridging ovarian parenchyma connects it to the ovary. The source specifically emphasizes this clue to avoid misclassifying an ovarian cyst as an adjacent paraovarian or tubal lesion.<br><br>Differential:<br>Paraovarian cyst<br>Tubal cyst<br>Cystic ovarian neoplasm																<div><b>Functional Ovarian Cyst</b></div><br><b>Source Basis:</b> RadPrimer + STATdx fused master source in source_package.txt. core_evidence.txt status: NOT_PROVIDED, so no Core-specific claims are used as verified facts.<br><br><b>High-yield summary:</b><br><ul><li>Functional ovarian cysts are physiologic cysts in reproductive-age patients, mainly follicles/follicular cysts and corpus luteum/corpus luteum cysts; most resolve spontaneously.</li><li>Confirm ovarian origin by surrounding ovarian parenchyma, follicles, or bridging ovarian tissue, especially for exophytic cysts.</li><li>Follicular/simple cysts are thin-walled, anechoic, and lack internal Doppler flow.</li><li>Corpus luteum cysts are postovulatory, thick-walled/crenulated, may hemorrhage, and commonly show peripheral Doppler flow; ring of fire is not specific for ectopic pregnancy.</li><li>Hemorrhagic cysts show lace-like/reticular echoes, retracting clot or fluid-debris/fluid-fluid levels, and no true internal vascularity.</li><li>Concern rises with postmenopausal hemorrhagic appearance, persistence/growth without resolution, or true solid vascular components.</li></ul>	
Reproductive-age woman with intermittent pelvic pain B23280C959E5	"<img src=""RP-02_RadPrimer_plain_Functional_Ovarian_Cyst2.jpg"">"	"<div class=""stackItem""><img src=""RP-02_RadPrimer_annotated_Functional_Ovarian_Cyst2_annot.jpg""><div class=""stackCap"">Corpus luteum cyst (CLC) can be exophytic from the ovary <img src=""arrow_WS.png"">; look for the bridging ovarian parenchyma <img src=""arrow_WO.png"">. Hemorrhage and retracted clot can also be present within a CLC <img src=""arrow_CS.png"">.</div></div>"	Most likely diagnosis?	Corpus luteum cyst with hemorrhage<br><br>Keyword findings:<br>exophytic from the ovary<br>bridging ovarian parenchyma<br>Hemorrhage and retracted clot<br><br>An exophytic cyst remains ovarian because of bridging parenchyma, while intracystic hemorrhage and retracting clot are source-supported features of a corpus luteum cyst. The overall pattern is therefore a hemorrhagic corpus luteum rather than a separate adnexal mass.<br><br>Differential:<br>Endometrioma<br>Ectopic pregnancy<br>Ovarian neoplasm																<div><b>Functional Ovarian Cyst</b></div><br><b>Source Basis:</b> RadPrimer + STATdx fused master source in source_package.txt. core_evidence.txt status: NOT_PROVIDED, so no Core-specific claims are used as verified facts.<br><br><b>High-yield summary:</b><br><ul><li>Functional ovarian cysts are physiologic cysts in reproductive-age patients, mainly follicles/follicular cysts and corpus luteum/corpus luteum cysts; most resolve spontaneously.</li><li>Confirm ovarian origin by surrounding ovarian parenchyma, follicles, or bridging ovarian tissue, especially for exophytic cysts.</li><li>Follicular/simple cysts are thin-walled, anechoic, and lack internal Doppler flow.</li><li>Corpus luteum cysts are postovulatory, thick-walled/crenulated, may hemorrhage, and commonly show peripheral Doppler flow; ring of fire is not specific for ectopic pregnancy.</li><li>Hemorrhagic cysts show lace-like/reticular echoes, retracting clot or fluid-debris/fluid-fluid levels, and no true internal vascularity.</li><li>Concern rises with postmenopausal hemorrhagic appearance, persistence/growth without resolution, or true solid vascular components.</li></ul>	
Reproductive-age woman with nonspecific pelvic symptoms 6D9145C86BBA	"<img src=""RP-03_RadPrimer_plain_Functional_Ovarian_Cyst3.jpg"">"	"<div class=""stackItem""><img src=""RP-03_RadPrimer_annotated_Functional_Ovarian_Cyst3_annot.jpg""><div class=""stackCap"">Typical appearance of a simple functional ovarian cyst <img src=""arrow_WS.png""> is shown. The peripheral follicles within the surrounding parenchyma <img src=""arrow_WC.png""> confirm this is an intraovarian cyst.</div></div>"	Most likely diagnosis?	Simple functional ovarian cyst<br><br>Keyword findings:<br>simple<br>peripheral follicles<br>surrounding parenchyma<br><br>Peripheral follicles and surrounding ovarian parenchyma establish that the cyst is intraovarian. The simple morphology matches the source description of a physiologic simple/follicular cyst.<br><br>Differential:<br>Serous cystadenoma<br>Mucinous cystadenoma<br>Paraovarian cyst																<div><b>Functional Ovarian Cyst</b></div><br><b>Source Basis:</b> RadPrimer + STATdx fused master source in source_package.txt. core_evidence.txt status: NOT_PROVIDED, so no Core-specific claims are used as verified facts.<br><br><b>High-yield summary:</b><br><ul><li>Functional ovarian cysts are physiologic cysts in reproductive-age patients, mainly follicles/follicular cysts and corpus luteum/corpus luteum cysts; most resolve spontaneously.</li><li>Confirm ovarian origin by surrounding ovarian parenchyma, follicles, or bridging ovarian tissue, especially for exophytic cysts.</li><li>Follicular/simple cysts are thin-walled, anechoic, and lack internal Doppler flow.</li><li>Corpus luteum cysts are postovulatory, thick-walled/crenulated, may hemorrhage, and commonly show peripheral Doppler flow; ring of fire is not specific for ectopic pregnancy.</li><li>Hemorrhagic cysts show lace-like/reticular echoes, retracting clot or fluid-debris/fluid-fluid levels, and no true internal vascularity.</li><li>Concern rises with postmenopausal hemorrhagic appearance, persistence/growth without resolution, or true solid vascular components.</li></ul>	
Reproductive-age woman with acute pelvic pain E394E5E82C5B	"<img src=""RP-04_RadPrimer_plain_Functional_Ovarian_Cyst4.jpg"">"	"<div class=""stackItem""><img src=""RP-04_RadPrimer_annotated_Functional_Ovarian_Cyst4_annot.jpg""><div class=""stackCap"">The ring of fire appearance <img src=""arrow_WO.png""> results from marked peripheral vascular flow around the CLC wall on Doppler. The CLC demonstrates typical crenulated walls <img src=""arrow_WS.png""> and internal echoes due to internal hemorrhage <img src=""arrow_CS.png"">.</div></div>"	Most likely diagnosis?	Corpus luteum cyst<br><br>Keyword findings:<br>marked peripheral vascular flow<br>crenulated walls<br>internal echoes due to internal hemorrhage<br><br>A thick crenulated postovulatory cyst with marked peripheral wall flow and hemorrhagic internal echoes is the classic source-supported corpus luteum pattern. Peripheral flow is expected and does not by itself imply ectopic pregnancy or a vascular solid tumor.<br><br>Differential:<br>Ectopic pregnancy<br>Endometrioma<br>Ovarian malignancy																<div><b>Functional Ovarian Cyst</b></div><br><b>Source Basis:</b> RadPrimer + STATdx fused master source in source_package.txt. core_evidence.txt status: NOT_PROVIDED, so no Core-specific claims are used as verified facts.<br><br><b>High-yield summary:</b><br><ul><li>Functional ovarian cysts are physiologic cysts in reproductive-age patients, mainly follicles/follicular cysts and corpus luteum/corpus luteum cysts; most resolve spontaneously.</li><li>Confirm ovarian origin by surrounding ovarian parenchyma, follicles, or bridging ovarian tissue, especially for exophytic cysts.</li><li>Follicular/simple cysts are thin-walled, anechoic, and lack internal Doppler flow.</li><li>Corpus luteum cysts are postovulatory, thick-walled/crenulated, may hemorrhage, and commonly show peripheral Doppler flow; ring of fire is not specific for ectopic pregnancy.</li><li>Hemorrhagic cysts show lace-like/reticular echoes, retracting clot or fluid-debris/fluid-fluid levels, and no true internal vascularity.</li><li>Concern rises with postmenopausal hemorrhagic appearance, persistence/growth without resolution, or true solid vascular components.</li></ul>	
Reproductive-age woman with acute pelvic pain F6A9AD20C25B	"<img src=""SDX-05_STATdx_plain_Functional_Ovarian_Cyst5.jpg"">"	"<div class=""stackItem""><img src=""SDX-05_STATdx_annotated_Functional_Ovarian_Cyst5_annot.jpg""><div class=""stackCap"">Characteristic lace-like or reticular internal echoes <img src=""arrow_WC.png""> are seen with this hemorrhagic cyst <img src=""arrow_WO.png"">. No internal vascularity is demonstrated.</div></div>"	Most likely diagnosis?	Hemorrhagic functional ovarian cyst<br><br>Keyword findings:<br>Characteristic lace-like<br>reticular internal echoes<br>No internal vascularity<br><br>Reticular/lace-like internal echoes with no internal Doppler flow are source-supported features of blood products/clot within a hemorrhagic functional cyst. Avascular internal material helps separate hemorrhagic clot from true vascular solid tissue.<br><br>Differential:<br>Endometrioma<br>Cystic teratoma<br>Ovarian malignancy																<div><b>Functional Ovarian Cyst</b></div><br><b>Source Basis:</b> RadPrimer + STATdx fused master source in source_package.txt. core_evidence.txt status: NOT_PROVIDED, so no Core-specific claims are used as verified facts.<br><br><b>High-yield summary:</b><br><ul><li>Functional ovarian cysts are physiologic cysts in reproductive-age patients, mainly follicles/follicular cysts and corpus luteum/corpus luteum cysts; most resolve spontaneously.</li><li>Confirm ovarian origin by surrounding ovarian parenchyma, follicles, or bridging ovarian tissue, especially for exophytic cysts.</li><li>Follicular/simple cysts are thin-walled, anechoic, and lack internal Doppler flow.</li><li>Corpus luteum cysts are postovulatory, thick-walled/crenulated, may hemorrhage, and commonly show peripheral Doppler flow; ring of fire is not specific for ectopic pregnancy.</li><li>Hemorrhagic cysts show lace-like/reticular echoes, retracting clot or fluid-debris/fluid-fluid levels, and no true internal vascularity.</li><li>Concern rises with postmenopausal hemorrhagic appearance, persistence/growth without resolution, or true solid vascular components.</li></ul>	
Reproductive-age woman with pelvic pain 6D73768D2D05	"<img src=""SDX-06_STATdx_plain_Functional_Ovarian_Cyst6.jpg"">"	"<div class=""stackItem""><img src=""SDX-06_STATdx_annotated_Functional_Ovarian_Cyst6_annot.jpg""><div class=""stackCap"">Color Doppler US shows prominent flow <img src=""arrow_WS.png""> in the ovary surrounding the corpus luteum. The normal corpus luteum is one of the causes of the ring of fire sign; hence, it is not a specific sign of ectopic pregnancy. Hemorrhage is seen within the CLC <img src=""arrow_WO.png"">.</div></div>"	Most likely diagnosis?	Corpus luteum cyst with hemorrhage<br><br>Keyword findings:<br>Color Doppler US<br>prominent flow<br>Hemorrhage is seen within<br><br>Prominent peripheral ovarian flow surrounding a hemorrhagic postovulatory cyst is compatible with corpus luteum. The source explicitly warns that this vascular pattern is not specific for ectopic pregnancy.<br><br>Differential:<br>Ectopic pregnancy<br>Endometrioma<br>Ovarian malignancy																<div><b>Functional Ovarian Cyst</b></div><br><b>Source Basis:</b> RadPrimer + STATdx fused master source in source_package.txt. core_evidence.txt status: NOT_PROVIDED, so no Core-specific claims are used as verified facts.<br><br><b>High-yield summary:</b><br><ul><li>Functional ovarian cysts are physiologic cysts in reproductive-age patients, mainly follicles/follicular cysts and corpus luteum/corpus luteum cysts; most resolve spontaneously.</li><li>Confirm ovarian origin by surrounding ovarian parenchyma, follicles, or bridging ovarian tissue, especially for exophytic cysts.</li><li>Follicular/simple cysts are thin-walled, anechoic, and lack internal Doppler flow.</li><li>Corpus luteum cysts are postovulatory, thick-walled/crenulated, may hemorrhage, and commonly show peripheral Doppler flow; ring of fire is not specific for ectopic pregnancy.</li><li>Hemorrhagic cysts show lace-like/reticular echoes, retracting clot or fluid-debris/fluid-fluid levels, and no true internal vascularity.</li><li>Concern rises with postmenopausal hemorrhagic appearance, persistence/growth without resolution, or true solid vascular components.</li></ul>	
Reproductive-age woman with cyclical pelvic pain 489CBF5EA59F	"<img src=""SDX-07_STATdx_plain_Functional_Ovarian_Cyst7.jpg"">"	"<div class=""stackItem""><img src=""SDX-07_STATdx_annotated_Functional_Ovarian_Cyst7_annot.jpg""><div class=""stackCap"">Grayscale US shows the characteristic thick-walled, crenulated <img src=""arrow_WS.png""> appearance of a corpus luteum. Crenulated appearance is related to collapse of the cyst wall after ovulation.</div></div>"	Most likely diagnosis?	Corpus luteum<br><br>Keyword findings:<br>Grayscale US<br>thick-walled<br>crenulated<br><br>The thick-walled crenulated morphology is source-supported for corpus luteum and is attributed to collapse of the cyst wall after ovulation. This is a postovulatory physiologic morphology rather than an inherently neoplastic feature.<br><br>Differential:<br>Ectopic pregnancy<br>Endometrioma<br>Ovarian malignancy																<div><b>Functional Ovarian Cyst</b></div><br><b>Source Basis:</b> RadPrimer + STATdx fused master source in source_package.txt. core_evidence.txt status: NOT_PROVIDED, so no Core-specific claims are used as verified facts.<br><br><b>High-yield summary:</b><br><ul><li>Functional ovarian cysts are physiologic cysts in reproductive-age patients, mainly follicles/follicular cysts and corpus luteum/corpus luteum cysts; most resolve spontaneously.</li><li>Confirm ovarian origin by surrounding ovarian parenchyma, follicles, or bridging ovarian tissue, especially for exophytic cysts.</li><li>Follicular/simple cysts are thin-walled, anechoic, and lack internal Doppler flow.</li><li>Corpus luteum cysts are postovulatory, thick-walled/crenulated, may hemorrhage, and commonly show peripheral Doppler flow; ring of fire is not specific for ectopic pregnancy.</li><li>Hemorrhagic cysts show lace-like/reticular echoes, retracting clot or fluid-debris/fluid-fluid levels, and no true internal vascularity.</li><li>Concern rises with postmenopausal hemorrhagic appearance, persistence/growth without resolution, or true solid vascular components.</li></ul>	
Reproductive-age woman with pelvic discomfort E05CBEDE1E42	"<img src=""SDX-08_STATdx_plain_Functional_Ovarian_Cyst8.jpg"">"	"<div class=""stackItem""><img src=""SDX-08_STATdx_annotated_Functional_Ovarian_Cyst8_annot.jpg""><div class=""stackCap"">Flow  <img src=""arrow_WS.png"">   is present at the periphery of the lesion, which is an expected finding.</div></div>"	Most likely diagnosis?	Corpus luteum<br><br>Keyword findings:<br>Flow<br>present at the periphery<br>expected finding<br><br>Peripheral flow is expected around corpus luteum and belongs to the wall/surrounding ovary rather than to intracystic clot. The source cautions that this vascularity alone is not a malignant solid component.<br><br>Differential:<br>Ectopic pregnancy<br>Ovarian malignancy<br>Endometrioma																<div><b>Functional Ovarian Cyst</b></div><br><b>Source Basis:</b> RadPrimer + STATdx fused master source in source_package.txt. core_evidence.txt status: NOT_PROVIDED, so no Core-specific claims are used as verified facts.<br><br><b>High-yield summary:</b><br><ul><li>Functional ovarian cysts are physiologic cysts in reproductive-age patients, mainly follicles/follicular cysts and corpus luteum/corpus luteum cysts; most resolve spontaneously.</li><li>Confirm ovarian origin by surrounding ovarian parenchyma, follicles, or bridging ovarian tissue, especially for exophytic cysts.</li><li>Follicular/simple cysts are thin-walled, anechoic, and lack internal Doppler flow.</li><li>Corpus luteum cysts are postovulatory, thick-walled/crenulated, may hemorrhage, and commonly show peripheral Doppler flow; ring of fire is not specific for ectopic pregnancy.</li><li>Hemorrhagic cysts show lace-like/reticular echoes, retracting clot or fluid-debris/fluid-fluid levels, and no true internal vascularity.</li><li>Concern rises with postmenopausal hemorrhagic appearance, persistence/growth without resolution, or true solid vascular components.</li></ul>	
Reproductive-age woman with pelvic pain 453516252F96	"<img src=""SDX-09_STATdx_plain_Functional_Ovarian_Cyst9.jpg"">"	"<div class=""stackItem""><img src=""SDX-09_STATdx_annotated_Functional_Ovarian_Cyst9_annot.jpg""><div class=""stackCap"">Corpus luteum with crenulated margin <img src=""arrow_WC.png""> and internal hemorrhage <img src=""arrow_WS.png""> is seen. The margin can appear very vascular <img src=""arrow_CS.png""> and should not be misinterpreted as solid components suspicious for malignancy. Increased flow is expected, given the hormonal role of the corpus luteum.</div></div>"	Most likely diagnosis?	Corpus luteum cyst with hemorrhage<br><br>Keyword findings:<br>crenulated margin<br>internal hemorrhage<br>very vascular<br><br>A crenulated hemorrhagic corpus luteum can have striking peripheral vascularity. STATdx specifically warns not to misinterpret the vascular margin as a true vascular solid component suspicious for malignancy.<br><br>Differential:<br>Ovarian malignancy<br>Ectopic pregnancy<br>Endometrioma																<div><b>Functional Ovarian Cyst</b></div><br><b>Source Basis:</b> RadPrimer + STATdx fused master source in source_package.txt. core_evidence.txt status: NOT_PROVIDED, so no Core-specific claims are used as verified facts.<br><br><b>High-yield summary:</b><br><ul><li>Functional ovarian cysts are physiologic cysts in reproductive-age patients, mainly follicles/follicular cysts and corpus luteum/corpus luteum cysts; most resolve spontaneously.</li><li>Confirm ovarian origin by surrounding ovarian parenchyma, follicles, or bridging ovarian tissue, especially for exophytic cysts.</li><li>Follicular/simple cysts are thin-walled, anechoic, and lack internal Doppler flow.</li><li>Corpus luteum cysts are postovulatory, thick-walled/crenulated, may hemorrhage, and commonly show peripheral Doppler flow; ring of fire is not specific for ectopic pregnancy.</li><li>Hemorrhagic cysts show lace-like/reticular echoes, retracting clot or fluid-debris/fluid-fluid levels, and no true internal vascularity.</li><li>Concern rises with postmenopausal hemorrhagic appearance, persistence/growth without resolution, or true solid vascular components.</li></ul>	
Reproductive-age woman with infertility AD0608725CBB	"<img src=""SDX-10_STATdx_plain_Functional_Ovarian_Cyst10.jpg"">"	"<div class=""stackItem""><img src=""SDX-10_STATdx_annotated_Functional_Ovarian_Cyst10_annot.jpg""><div class=""stackCap"">Longitudinal transvaginal US shows dominant cystic structure (calipers) measuring 2.55 cm in a patient undergoing ovarian suppression prior to superovulation for assisted reproduction. This is a follicular cyst.</div></div>"	Most likely diagnosis?	Follicular cyst<br><br>Keyword findings:<br>Longitudinal transvaginal US<br>dominant cystic structure<br>measuring 2.55 cm<br><br>The STATdx caption explicitly labels this 2.55 cm dominant cystic structure during ovarian suppression before superovulation as a follicular cyst. This card uses the case-specific STATdx label rather than an uncaptured Core threshold.<br><br>Differential:<br>Serous cystadenoma<br>Paraovarian cyst<br>Cystic teratoma																<div><b>Functional Ovarian Cyst</b></div><br><b>Source Basis:</b> RadPrimer + STATdx fused master source in source_package.txt. core_evidence.txt status: NOT_PROVIDED, so no Core-specific claims are used as verified facts.<br><br><b>High-yield summary:</b><br><ul><li>Functional ovarian cysts are physiologic cysts in reproductive-age patients, mainly follicles/follicular cysts and corpus luteum/corpus luteum cysts; most resolve spontaneously.</li><li>Confirm ovarian origin by surrounding ovarian parenchyma, follicles, or bridging ovarian tissue, especially for exophytic cysts.</li><li>Follicular/simple cysts are thin-walled, anechoic, and lack internal Doppler flow.</li><li>Corpus luteum cysts are postovulatory, thick-walled/crenulated, may hemorrhage, and commonly show peripheral Doppler flow; ring of fire is not specific for ectopic pregnancy.</li><li>Hemorrhagic cysts show lace-like/reticular echoes, retracting clot or fluid-debris/fluid-fluid levels, and no true internal vascularity.</li><li>Concern rises with postmenopausal hemorrhagic appearance, persistence/growth without resolution, or true solid vascular components.</li></ul>	
