#separator:tab
#html:true
#notetype:core_rad_notetype_v2
#deck:Corebook::Ultrasound::Female Pelvis Basic::Ovarian Teratoma
Patient with pelvic pain FYBG557HNWWM	"<img src=""RP-01_RadPrimer_plain_Ovarian_Teratoma1.jpg"">"	"<div class=""stackItem""><img src=""RP-01_RadPrimer_annotated_Ovarian_Teratoma1_annot.jpg""><div class=""stackCap"">Dermoids may be mostly cystic with linear floating echoes (dot and dash sign), consistent with hair <img src=""arrow_WS.png"">. The echogenic shadowing Rokitansky nodule <img src=""arrow_WO.png""> along the periphery is diagnostic for a dermoid.</div></div>"	Most likely diagnosis?	Mature cystic teratoma (dermoid)<br><br>KEYWORD FINDINGS:<br>mostly cystic<br>linear floating echoes<br>echogenic shadowing Rokitansky nodule<br><br>The combination of floating hair echoes and a peripheral shadowing Rokitansky nodule is a classic mature dermoid recognition pattern. The RadPrimer/STATdx master source identifies the echogenic Rokitansky nodule, dot-dash hair echoes, and variable cystic appearance as characteristic.<br><br>Differential:<br>Hemorrhagic ovarian cyst<br>Endometrioma<br>Bowel																<div><b>Ovarian Teratoma</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source.</div><div><b>High-yield frame:</b> Mature cystic teratoma/dermoid is recognized by fat, hair, sebaceous material, Rokitansky nodule/dermoid plug, tooth-like calcification, fat-fluid level, or tip-of-the-iceberg shadowing. Then assess for torsion, rupture/inflammation, bilateral disease, immature-teratoma features, or malignant degeneration risk.</div><div><b>Differential pivots:</b> Hemorrhagic cyst favors fine fibrin strands/posterior enhancement without definite fat; endometrioma favors homogeneous low-level echoes and chronic cyclic pain/endometriosis history; abscess favors fever/inflammatory change; bowel fecal material is clarified by localization, repeat scanning, bowel behavior, or MR.</div>	
Patient with pelvic pain YGWJU7CL6RQ0	"<img src=""RP-02_RadPrimer_plain_Ovarian_Teratoma2.jpg"">"	"<div class=""stackItem""><img src=""RP-02_RadPrimer_annotated_Ovarian_Teratoma2_annot.jpg""><div class=""stackCap"">Cystic lesion <img src=""arrow_WO.png""> with echogenic fat-containing Rokitansky nodule <img src=""arrow_WS.png""> is characteristic for mature cystic teratoma. These lesions can contain tissue from all 3 lines of embryonic cellular differentiation.</div></div>"	Most likely diagnosis?	Mature cystic teratoma (dermoid)<br><br>KEYWORD FINDINGS:<br>cystic lesion<br>echogenic fat-containing Rokitansky nodule<br>all 3 lines of embryonic cellular differentiation<br><br>A cystic ovarian lesion with a fat-containing Rokitansky nodule directly links the sonographic appearance to mature tissues from multiple germ-cell layers.<br><br>Differential:<br>Hemorrhagic ovarian cyst<br>Endometrioma<br>Bowel																<div><b>Ovarian Teratoma</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source.</div><div><b>High-yield frame:</b> Mature cystic teratoma/dermoid is recognized by fat, hair, sebaceous material, Rokitansky nodule/dermoid plug, tooth-like calcification, fat-fluid level, or tip-of-the-iceberg shadowing. Then assess for torsion, rupture/inflammation, bilateral disease, immature-teratoma features, or malignant degeneration risk.</div><div><b>Differential pivots:</b> Hemorrhagic cyst favors fine fibrin strands/posterior enhancement without definite fat; endometrioma favors homogeneous low-level echoes and chronic cyclic pain/endometriosis history; abscess favors fever/inflammatory change; bowel fecal material is clarified by localization, repeat scanning, bowel behavior, or MR.</div>	
Patient with pelvic pain NENNUP57WXP7	"<img src=""RP-03_RadPrimer_plain_Ovarian_Teratoma3.jpg"">"	"<div class=""stackItem""><img src=""RP-03_RadPrimer_annotated_Ovarian_Teratoma3_annot.jpg""><div class=""stackCap"">Fat-fluid level  <img src=""arrow_WS.png"">  is seen in this mature cystic teratoma. As shown here, sometimes, a graded appearance can be seen with variable density of the fat contents.</div></div>"	Most likely diagnosis?	Mature cystic teratoma (dermoid)<br><br>KEYWORD FINDINGS:<br>fat-fluid level<br>graded appearance<br>variable density of the fat contents<br><br>A true fat-fluid level is a high-value clue to differing internal material composition in a dermoid; the source also notes that variable-density fatty contents can create a graded appearance.<br><br>Differential:<br>Hemorrhagic ovarian cyst<br>Endometrioma<br>Pelvic abscess																<div><b>Ovarian Teratoma</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source.</div><div><b>High-yield frame:</b> Mature cystic teratoma/dermoid is recognized by fat, hair, sebaceous material, Rokitansky nodule/dermoid plug, tooth-like calcification, fat-fluid level, or tip-of-the-iceberg shadowing. Then assess for torsion, rupture/inflammation, bilateral disease, immature-teratoma features, or malignant degeneration risk.</div><div><b>Differential pivots:</b> Hemorrhagic cyst favors fine fibrin strands/posterior enhancement without definite fat; endometrioma favors homogeneous low-level echoes and chronic cyclic pain/endometriosis history; abscess favors fever/inflammatory change; bowel fecal material is clarified by localization, repeat scanning, bowel behavior, or MR.</div>	
Patient with pelvic pain NECFAOE2LKP8	"<img src=""RP-04_RadPrimer_plain_Ovarian_Teratoma4.jpg"">"	"<div class=""stackItem""><img src=""RP-04_RadPrimer_annotated_Ovarian_Teratoma4_annot.jpg""><div class=""stackCap"">On endovaginal imaging, layering fat with fat-fluid level  <img src=""arrow_WS.png"">  is seen in the lesion. The level may not appear horizontal on endovaginal imaging.</div></div>"	Most likely diagnosis?	Mature cystic teratoma (dermoid)<br><br>KEYWORD FINDINGS:<br>endovaginal imaging<br>layering fat with fat-fluid level<br>level may not appear horizontal<br><br>The source states that an endovaginal fat-fluid level may not appear horizontal. <b>Outside clarification:</b> probe orientation can make a true level appear oblique; the key recognition move is still layering fat.<br><br>Differential:<br>Hemorrhagic ovarian cyst<br>Endometrioma<br>Pelvic abscess																<div><b>Ovarian Teratoma</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source.</div><div><b>High-yield frame:</b> Mature cystic teratoma/dermoid is recognized by fat, hair, sebaceous material, Rokitansky nodule/dermoid plug, tooth-like calcification, fat-fluid level, or tip-of-the-iceberg shadowing. Then assess for torsion, rupture/inflammation, bilateral disease, immature-teratoma features, or malignant degeneration risk.</div><div><b>Differential pivots:</b> Hemorrhagic cyst favors fine fibrin strands/posterior enhancement without definite fat; endometrioma favors homogeneous low-level echoes and chronic cyclic pain/endometriosis history; abscess favors fever/inflammatory change; bowel fecal material is clarified by localization, repeat scanning, bowel behavior, or MR.</div>	
Patient with pelvic pain QH5NLCMGP2D0	"<img src=""RP-05_RadPrimer_plain_Ovarian_Teratoma5.jpg"">"	"<div class=""stackItem""><img src=""RP-05_RadPrimer_annotated_Ovarian_Teratoma5_annot.jpg""><div class=""stackCap"">Echogenic fat-containing lesion is consistent with a dermoid (calipers). Posterior acoustic enhancement <img src=""arrow_WS.png""> can be seen from cystic contents of the lesion. Shadowing <img src=""arrow_WO.png""> from certain areas of the mass precludes evaluation of deeper structures.</div></div>"	Most likely diagnosis?	Mature cystic teratoma (dermoid)<br><br>KEYWORD FINDINGS:<br>echogenic fat-containing lesion<br>posterior acoustic enhancement<br>shadowing<br>precludes evaluation of deeper structures<br><br>Dermoids can contain both cystic material that enhances transmission and dense fatty/calcified material that shadows, producing a mixed acoustic signature and the source-described tip-of-the-iceberg problem.<br><br>Differential:<br>Hemorrhagic ovarian cyst<br>Endometrioma<br>Bowel																<div><b>Ovarian Teratoma</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source.</div><div><b>High-yield frame:</b> Mature cystic teratoma/dermoid is recognized by fat, hair, sebaceous material, Rokitansky nodule/dermoid plug, tooth-like calcification, fat-fluid level, or tip-of-the-iceberg shadowing. Then assess for torsion, rupture/inflammation, bilateral disease, immature-teratoma features, or malignant degeneration risk.</div><div><b>Differential pivots:</b> Hemorrhagic cyst favors fine fibrin strands/posterior enhancement without definite fat; endometrioma favors homogeneous low-level echoes and chronic cyclic pain/endometriosis history; abscess favors fever/inflammatory change; bowel fecal material is clarified by localization, repeat scanning, bowel behavior, or MR.</div>	
Patient with pelvic pain 96QON0OUJ1AO	"<img src=""RP-06_RadPrimer_plain_Ovarian_Teratoma6.jpg"">"	"<div class=""stackItem""><img src=""RP-06_RadPrimer_annotated_Ovarian_Teratoma6_annot.jpg""><div class=""stackCap"">Color Doppler imaging usually does not demonstrate flow in the internal contents of dermoid. When flow is present, further evaluation with CECT or MR imaging should be considered to evaluate for possible malignant transformation.</div></div>"	Most likely diagnosis?	Mature cystic teratoma (dermoid)<br><br>KEYWORD FINDINGS:<br>Color Doppler imaging<br>does not demonstrate flow<br>internal contents<br><br>Internal mature dermoid contents are usually avascular. The key teaching point is to distinguish absent true internal flow from unexpected vascularity in a solid component, which changes the level of concern.<br><br>Differential:<br>Hemorrhagic ovarian cyst<br>Endometrioma<br>Pelvic abscess																<div><b>Ovarian Teratoma</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source.</div><div><b>High-yield frame:</b> Mature cystic teratoma/dermoid is recognized by fat, hair, sebaceous material, Rokitansky nodule/dermoid plug, tooth-like calcification, fat-fluid level, or tip-of-the-iceberg shadowing. Then assess for torsion, rupture/inflammation, bilateral disease, immature-teratoma features, or malignant degeneration risk.</div><div><b>Differential pivots:</b> Hemorrhagic cyst favors fine fibrin strands/posterior enhancement without definite fat; endometrioma favors homogeneous low-level echoes and chronic cyclic pain/endometriosis history; abscess favors fever/inflammatory change; bowel fecal material is clarified by localization, repeat scanning, bowel behavior, or MR.</div>	
Patient with pelvic pain MUNMUUB5PCLT	"<img src=""RP-07_RadPrimer_plain_Ovarian_Teratoma7.jpg"">"	"<div class=""stackItem""><img src=""RP-07_RadPrimer_annotated_Ovarian_Teratoma7_annot.jpg""><div class=""stackCap"">CECT shows a lesion <img src=""arrow_CS.png""> with fat density components <img src=""arrow_WO.png"">. Calcified tooth-like structure <img src=""arrow_WS.png"">  is characteristic of a mature teratoma or dermoid.</div></div>"	Most likely diagnosis?	Mature cystic teratoma (dermoid)<br><br>KEYWORD FINDINGS:<br>CECT<br>fat density components<br>calcified tooth-like structure<br><br>Macroscopic fat plus tooth-like calcification in an adnexal lesion is a direct CT material diagnosis for mature cystic teratoma and matches the source description of fat with tooth-like or coarse calcification.<br><br>Differential:<br>Hemorrhagic ovarian cyst<br>Endometrioma<br>Pelvic abscess																<div><b>Ovarian Teratoma</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source.</div><div><b>High-yield frame:</b> Mature cystic teratoma/dermoid is recognized by fat, hair, sebaceous material, Rokitansky nodule/dermoid plug, tooth-like calcification, fat-fluid level, or tip-of-the-iceberg shadowing. Then assess for torsion, rupture/inflammation, bilateral disease, immature-teratoma features, or malignant degeneration risk.</div><div><b>Differential pivots:</b> Hemorrhagic cyst favors fine fibrin strands/posterior enhancement without definite fat; endometrioma favors homogeneous low-level echoes and chronic cyclic pain/endometriosis history; abscess favors fever/inflammatory change; bowel fecal material is clarified by localization, repeat scanning, bowel behavior, or MR.</div>	
Patient with pelvic pain JC4Y97Y1N3P2	"<img src=""RP-08_RadPrimer_plain_Ovarian_Teratoma8.jpg""><br><img src=""RP-09_RadPrimer_plain_Ovarian_Teratoma9.jpg""><br><img src=""RP-10_RadPrimer_plain_Ovarian_Teratoma10.jpg"">"	"<div class=""stackItem""><img src=""RP-08_RadPrimer_annotated_Ovarian_Teratoma8_annot.jpg""><div class=""stackCap"">Heterogeneous mixed solid-cystic mass <img src=""arrow_WS.png""> is seen with echogenic areas <img src=""arrow_WO.png"">, suggestive of dermoid. No flow is seen in the solid areas. However, given the heterogeneity, an MR was considered for definitive characterization.</div></div><div class=""stackItem""><img src=""RP-09_RadPrimer_annotated_Ovarian_Teratoma9_annot.jpg""><div class=""stackCap"">Multiple locules <img src=""arrow_WS.png""> of the mass demonstrate T2-hyperintense signal. The solid component <img src=""arrow_WO.png""> demonstrates T2-hyperintense as well as intermediate-signal areas.</div></div><div class=""stackItem""><img src=""RP-10_RadPrimer_annotated_Ovarian_Teratoma10_annot.jpg""><div class=""stackCap"">On fat-suppressed images, almost the entire mass, including both the cystic <img src=""arrow_WS.png""> and solid <img src=""arrow_WO.png""> areas, became hypointense, confirming the presence of macroscopic fat in a mature cystic teratoma.</div></div>"	Most likely diagnosis?	Mature cystic teratoma (dermoid)<br><br>KEYWORD FINDINGS:<br>heterogeneous mixed solid-cystic mass<br>no flow in the solid areas<br>T2-hyperintense signal<br>fat-suppressed images became hypointense<br>macroscopic fat<br><br>This ultrasound-to-MR cluster shows why a heterogeneous avascular mass may need tissue characterization: fat-suppressed MR demonstrates signal loss through much of the lesion, confirming macroscopic fat and settling the diagnosis.<br><br>Differential:<br>Endometrioma<br>Hemorrhagic ovarian cyst<br>Pelvic abscess																<div><b>Ovarian Teratoma</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source.</div><div><b>High-yield frame:</b> Mature cystic teratoma/dermoid is recognized by fat, hair, sebaceous material, Rokitansky nodule/dermoid plug, tooth-like calcification, fat-fluid level, or tip-of-the-iceberg shadowing. Then assess for torsion, rupture/inflammation, bilateral disease, immature-teratoma features, or malignant degeneration risk.</div><div><b>Differential pivots:</b> Hemorrhagic cyst favors fine fibrin strands/posterior enhancement without definite fat; endometrioma favors homogeneous low-level echoes and chronic cyclic pain/endometriosis history; abscess favors fever/inflammatory change; bowel fecal material is clarified by localization, repeat scanning, bowel behavior, or MR.</div>	
Patient with pelvic pain NLVRENR9BD3V	"<img src=""SDX-11_STATdx_plain_Ovarian_Teratoma11.jpg"">"	"<div class=""stackItem""><img src=""SDX-11_STATdx_annotated_Ovarian_Teratoma11_annot.jpg""><div class=""stackCap"">Macroscopic, fat-containing, mature cystic teratoma <img src=""arrow_WS.png""> is seen. A calcified structure suggestive of teeth <img src=""arrow_WO.png""> is seen.</div></div>"	Most likely diagnosis?	Mature cystic teratoma (dermoid)<br><br>KEYWORD FINDINGS:<br>macroscopic fat-containing mass<br>calcified structure<br>suggestive of teeth<br><br>This is a CT recognition reinforcement case: macroscopic fat and a calcified tooth-like element strongly support mature cystic teratoma.<br><br>Differential:<br>Hemorrhagic ovarian cyst<br>Endometrioma<br>Pelvic abscess																<div><b>Ovarian Teratoma</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source.</div><div><b>High-yield frame:</b> Mature cystic teratoma/dermoid is recognized by fat, hair, sebaceous material, Rokitansky nodule/dermoid plug, tooth-like calcification, fat-fluid level, or tip-of-the-iceberg shadowing. Then assess for torsion, rupture/inflammation, bilateral disease, immature-teratoma features, or malignant degeneration risk.</div><div><b>Differential pivots:</b> Hemorrhagic cyst favors fine fibrin strands/posterior enhancement without definite fat; endometrioma favors homogeneous low-level echoes and chronic cyclic pain/endometriosis history; abscess favors fever/inflammatory change; bowel fecal material is clarified by localization, repeat scanning, bowel behavior, or MR.</div>	
Patient with pelvic pain QMOHYM5GV0QB	"<img src=""SDX-12_STATdx_plain_Ovarian_Teratoma12.jpg"">"	"<div class=""stackItem""><img src=""SDX-12_STATdx_annotated_Ovarian_Teratoma12_annot.jpg""><div class=""stackCap"">Transabdominal ultrasound shows the echogenic component <img src=""arrow_WS.png""> due to fat content.</div></div>"	Most likely diagnosis?	Mature cystic teratoma (dermoid)<br><br>KEYWORD FINDINGS:<br>transabdominal ultrasound<br>echogenic component<br>fat content<br><br>A dermoid may be dominated sonographically by an echogenic fat component rather than a mostly cystic appearance, emphasizing the broad ultrasound spectrum.<br><br>Differential:<br>Hemorrhagic ovarian cyst<br>Endometrioma<br>Bowel																<div><b>Ovarian Teratoma</b></div><div><b>Source Basis:</b> RadPrimer + STATdx master source.</div><div><b>High-yield frame:</b> Mature cystic teratoma/dermoid is recognized by fat, hair, sebaceous material, Rokitansky nodule/dermoid plug, tooth-like calcification, fat-fluid level, or tip-of-the-iceberg shadowing. Then assess for torsion, rupture/inflammation, bilateral disease, immature-teratoma features, or malignant degeneration risk.</div><div><b>Differential pivots:</b> Hemorrhagic cyst favors fine fibrin strands/posterior enhancement without definite fat; endometrioma favors homogeneous low-level echoes and chronic cyclic pain/endometriosis history; abscess favors fever/inflammatory change; bowel fecal material is clarified by localization, repeat scanning, bowel behavior, or MR.</div>	
