masterImageId	displayLabel	sourceLabel	sourceImageNumber	caseClusterId	plainFilename	plainUrl	annotatedFilename	annotatedUrl	caption	downloadRecommendation
RP-01	RadPrimer image 1	RadPrimer	1		RP-01_RadPrimer_plain_85dbcd36.jpg	https://app.radprimer.com/images/85dbcd36-49cc-4235-b0ff-8cee94ebf66c?style=xlarge&annotated=false	RP-01_RadPrimer_annotated_85dbcd36.jpg	https://app.radprimer.com/images/85dbcd36-49cc-4235-b0ff-8cee94ebf66c?style=xlarge&annotated=true	"Graphic shows dilated, tortuous varicose veins of the pampiniform plexus <img src=""arrow_WS.png""> in the spermatic cord and along the posterosuperior aspect of the testis <img src=""arrow_WC.png"">."	primaryTeachingSet
RP-02	RadPrimer image 2	RadPrimer	2		RP-02_RadPrimer_plain_79b86b56.jpg	https://app.radprimer.com/images/79b86b56-d34e-4364-975f-4548c865d8b9?style=xlarge&annotated=false	RP-02_RadPrimer_annotated_79b86b56.jpg	https://app.radprimer.com/images/79b86b56-d34e-4364-975f-4548c865d8b9?style=xlarge&annotated=true	"Oblique grayscale ultrasound through the cord, in supine position with normal respiration, shows a dilated, tortuous principal vein <img src=""arrow_WC.png""> in the pampiniform plexus measuring 7.5 mm in caliber."	primaryTeachingSet
RP-03	RadPrimer image 3	RadPrimer	3		RP-03_RadPrimer_plain_e6dd629b.jpg	https://app.radprimer.com/images/e6dd629b-676e-4635-abc3-8dd6a372ebad?style=xlarge&annotated=false	RP-03_RadPrimer_annotated_e6dd629b.jpg	https://app.radprimer.com/images/e6dd629b-676e-4635-abc3-8dd6a372ebad?style=xlarge&annotated=true	"Longitudinal color Doppler ultrasound of the  scrotum in a 24-year-old man shows flow <img src=""arrow_WC.png""> in several dilated veins during Valsalva, indicative of moderate varicocele. Blood flow in the varicocele is slow and may be detected only with low Doppler settings."	primaryTeachingSet
RP-04	RadPrimer image 4	RadPrimer	4		RP-04_RadPrimer_plain_61bd7426.jpg	https://app.radprimer.com/images/61bd7426-0bfb-4239-941e-f7dad196a8bb?style=xlarge&annotated=false	RP-04_RadPrimer_annotated_61bd7426.jpg	https://app.radprimer.com/images/61bd7426-0bfb-4239-941e-f7dad196a8bb?style=xlarge&annotated=true	Catheter venogram demonstrates a prominent left gonadal vein extending into the left hemiscrotum in this patient with varicocele and infertility. Varicocele resolved after coil embolization.	primaryTeachingSet
SDX-01	STATdx image 1	STATdx	1	SDX-01-02	SDX-01_STATdx_plain_ce1b8a96.jpg	https://app.statdx.com/image/thumbnail/ce1b8a96-c36a-44ee-b0b1-de3dc26a18d4?size=1000&quality=90	SDX-01_STATdx_annotated_ce1b8a96.jpg	https://app.statdx.com/image/thumbnail/ce1b8a96-c36a-44ee-b0b1-de3dc26a18d4?annotated=true&size=1000&quality=90	"Transverse US of the left scrotum with the patient at rest in supine position shows multiple anechoic, tubular structures <img src=""arrow_WS.png""> medial to the testis, consistent with varicocele."	primaryTeachingSet
SDX-02	STATdx image 2	STATdx	2	SDX-01-02	SDX-02_STATdx_plain_4d839186.jpg	https://app.statdx.com/image/thumbnail/4d839186-3110-4a20-82e3-8c8b4d3076ab?size=1000&quality=90	SDX-02_STATdx_annotated_4d839186.jpg	https://app.statdx.com/image/thumbnail/4d839186-3110-4a20-82e3-8c8b4d3076ab?annotated=true&size=1000&quality=90	Longitudinal color Doppler US in the same patient during Valsalva shows flow throughout the varicocele due to reflux.	primaryTeachingSet
SDX-03	STATdx image 3	STATdx	3		SDX-03_STATdx_plain_e0f90cd7.jpg	https://app.statdx.com/image/thumbnail/e0f90cd7-472e-4d2d-ad74-1f492817aa3d?size=1000&quality=90	SDX-03_STATdx_annotated_e0f90cd7.jpg	https://app.statdx.com/image/thumbnail/e0f90cd7-472e-4d2d-ad74-1f492817aa3d?annotated=true&size=1000&quality=90	"Longitudinal color Doppler US shows dilated veins with minimal flow at rest <img src=""arrow_WS.png"">. With Valsalva <img src=""arrow_WO.png"">, aliasing is seen due to increased velocity of retrograde blood flow exceeding the low Doppler scale."	primaryTeachingSet
SDX-04	STATdx image 4	STATdx	4		SDX-04_STATdx_plain_7fec7e0a.jpg	https://app.statdx.com/image/thumbnail/7fec7e0a-6731-4f40-a5f0-73f07635a396?size=1000&quality=90	SDX-04_STATdx_annotated_7fec7e0a.jpg	https://app.statdx.com/image/thumbnail/7fec7e0a-6731-4f40-a5f0-73f07635a396?annotated=true&size=1000&quality=90	"Graphic shows normal pampiniform plexus veins <img src=""arrow_WS.png""> compared to abnormally dilated veins in a varicocele <img src=""arrow_WO.png"">."	primaryTeachingSet
SDX-05	STATdx image 5	STATdx	5		SDX-05_STATdx_plain_9e4049fe.jpg	https://app.statdx.com/image/thumbnail/9e4049fe-19f4-4a81-bfa0-3388450be325?size=1000&quality=90	SDX-05_STATdx_annotated_9e4049fe.jpg	https://app.statdx.com/image/thumbnail/9e4049fe-19f4-4a81-bfa0-3388450be325?annotated=true&size=1000&quality=90	"Transverse US inferior to the testis shows a large, right-sided varicocele <img src=""arrow_WS.png"">. Some of the veins are echogenic <img src=""arrow_WC.png""> due to slow flow (mobile in real time). The patient underwent CT, which was negative. Right-sided varicoceles, without other symptoms of malignancy, are rarely associated with an underlying malignancy."	primaryTeachingSet
SDX-06	STATdx image 6	STATdx	6		SDX-06_STATdx_plain_eb9e94db.jpg	https://app.statdx.com/image/thumbnail/eb9e94db-ae30-4d1e-99d7-2d37315bee84?size=1000&quality=90	SDX-06_STATdx_annotated_eb9e94db.jpg	https://app.statdx.com/image/thumbnail/eb9e94db-ae30-4d1e-99d7-2d37315bee84?annotated=true&size=1000&quality=90	"Longitudinal US of the spermatic cord just superior to the testis <img src=""arrow_WS.png""> in a patient with palpable, painful area shows a thrombosed varicocele vein as a echogenic, expanded vein <img src=""arrow_WC.png""> without color flow."	primaryTeachingSet
SDX-07	STATdx image 7	STATdx	7	SDX-07-09	SDX-07_STATdx_plain_bd79a82c.jpg	https://app.statdx.com/image/thumbnail/bd79a82c-990e-494c-a920-47e534d0415e?size=1000&quality=90	SDX-07_STATdx_annotated_bd79a82c.jpg	https://app.statdx.com/image/thumbnail/bd79a82c-990e-494c-a920-47e534d0415e?annotated=true&size=1000&quality=90	"Coronal CECT in a patient with history of severe necrotizing pancreatitis shows large, dilated veins in the left hemiscrotum <img src=""arrow_WS.png"">, consistent with varicocele. These communicate with the spermatic (gonadal) vein <img src=""arrow_WO.png"">."	primaryTeachingSet
SDX-08	STATdx image 8	STATdx	8	SDX-07-09	SDX-08_STATdx_plain_ff91f591.jpg	https://app.statdx.com/image/thumbnail/ff91f591-233c-4de2-9c62-2b6084c74f0e?size=1000&quality=90	SDX-08_STATdx_annotated_ff91f591.jpg	https://app.statdx.com/image/thumbnail/ff91f591-233c-4de2-9c62-2b6084c74f0e?annotated=true&size=1000&quality=90	"Coronal CECT in the same patient shows a dilated spermatic vein  <img src=""arrow_WS.png"">  entering a small left renal vein  <img src=""arrow_WO.png"">."	primaryTeachingSet
SDX-09	STATdx image 9	STATdx	9	SDX-07-09	SDX-09_STATdx_plain_e4b932ff.jpg	https://app.statdx.com/image/thumbnail/e4b932ff-3e23-4ce0-863f-dea615269d92?size=1000&quality=90	SDX-09_STATdx_annotated_e4b932ff.jpg	https://app.statdx.com/image/thumbnail/e4b932ff-3e23-4ce0-863f-dea615269d92?annotated=true&size=1000&quality=90	"Axial CECT in the same patient shows chronic thrombosis of the left renal vein <img src=""arrow_WS.png"">  due to past pancreatitis. Rarely, secondary causes of varicocele include vascular thromboses, iatrogenic causes, and tumor compression/venous invasion."	primaryTeachingSet
SDX-10	STATdx image 10	STATdx	10	SDX-10-12	SDX-10_STATdx_plain_2cc0e05a.jpg	https://app.statdx.com/image/thumbnail/2cc0e05a-1550-4b67-987d-2c2997792943?size=1000&quality=90	SDX-10_STATdx_annotated_2cc0e05a.jpg	https://app.statdx.com/image/thumbnail/2cc0e05a-1550-4b67-987d-2c2997792943?annotated=true&size=1000&quality=90	Longitudinal color Doppler US of the left scrotum in a 20-year-old symptomatic patient shows dilated vessels with scattered Doppler signal at rest.	primaryTeachingSet
SDX-11	STATdx image 11	STATdx	11	SDX-10-12	SDX-11_STATdx_plain_dbf22f26.jpg	https://app.statdx.com/image/thumbnail/dbf22f26-2886-4fa3-bef1-61ecfcf9cc18?size=1000&quality=90	SDX-11_STATdx_annotated_dbf22f26.jpg	https://app.statdx.com/image/thumbnail/dbf22f26-2886-4fa3-bef1-61ecfcf9cc18?annotated=true&size=1000&quality=90	Longitudinal color Doppler US in the same patient with Valsalva shows increased size of vessels and marked increase in flow due to retrograde flow in the pampiniform plexus.	primaryTeachingSet
SDX-12	STATdx image 12	STATdx	12	SDX-10-12	SDX-12_STATdx_plain_7bf96703.jpg	https://app.statdx.com/image/thumbnail/7bf96703-ab80-4292-8333-6bd33a35f7e5?size=1000&quality=90	SDX-12_STATdx_annotated_7bf96703.jpg	https://app.statdx.com/image/thumbnail/7bf96703-ab80-4292-8333-6bd33a35f7e5?annotated=true&size=1000&quality=90	"Anterior projection venogram in the same patient after coil embolization of the varicocele shows lack of reflux caudal to the coil mass  <img src=""arrow_WS.png"">."	primaryTeachingSet
